kda,dmg_to_champions,gold_diff_15,exp_diff_15,kill_participation,objective_damage,vision_score,gold_diff_end,exp_diff_end,role,win_loss
1.78,18927,-808,-388,47.1,16881,20,-1510,-1303,2,0
1.64,28844,333,-237,52.9,3118,32,-3236,-3641,3,0
2.86,30986,-494,-361,58.8,12348,29,3450,1951,4,0
1.56,13335,-630,-210,41.2,34,92,-3555,-3400,5,0
1.9,47619,1972,1662,43.2,10092,31,-277,1190,1,0
2.73,26135,497,631,68.2,30595,28,-2999,404,2,0
3.43,50735,-1704,-814,54.5,15500,35,95,582,3,0
3.25,40818,746,-47,59.1,29979,24,1058,-4171,4,0
4.5,17077,916,415,61.4,12520,98,-563,-3862,5,0
1.78,32130,-1972,-1662,38.1,10213,28,277,-1190,1,1
2.18,27557,-497,-631,57.1,29022,34,2999,-404,2,1
5.17,65342,1704,814,73.8,8447,25,-95,-582,3,1
2.56,44374,-746,47,54.8,35269,11,-1058,4171,4,1
2.89,26366,-916,-415,61.9,5210,73,563,3862,5,1
0.88,17760,-1677,-306,15.9,14010,11,175,3230,1,1
3,21800,-996,-736,34.1,34563,56,-420,1884,2,1
4.4,35531,922,1193,50,10676,17,1403,3690,3,1
2.43,14960,-896,1194,38.6,19040,15,2506,5672,4,1
5.2,29635,1669,-490,59.1,15135,82,4313,3010,5,1
0.78,17517,1677,306,23.3,10676,22,-175,-3230,1,0
1.86,23038,996,736,43.3,24687,22,420,-1884,2,0
1.11,22306,-922,-1193,33.3,8508,17,-1403,-3690,3,0
1.09,17948,896,-1194,40,9009,14,-2506,-5672,4,0
1.89,7533,-1669,490,56.7,4114,85,-4313,-3010,5,0
2.14,26278,1155,513,38.5,6425,21,467,1667,1,1
2.29,16465,-702,291,41,34894,25,-787,1160,2,1
2.33,15292,-460,607,17.9,32912,20,-1522,3023,3,1
5.4,60138,2036,1060,69.2,18475,16,10776,8833,4,1
5,9209,-667,-227,64.1,3914,54,1889,3669,5,1
1.1,34166,-1155,-513,40.7,5610,19,-467,-1667,1,0
1.5,26552,702,-291,55.6,10842,9,787,-1160,2,0
2.8,24913,460,-607,51.9,6191,16,1522,-3023,3,0
1.43,17552,-2036,-1060,37,11040,15,-10776,-8833,4,0
2.86,11185,667,227,74.1,1901,53,-1889,-3669,5,0
1.22,21665,-606,-1346,40.7,4200,10,-6045,-4105,1,0
1.3,19366,-134,-2650,48.1,16327,13,-2810,-6596,2,0
6,22864,-1,780,44.4,4034,8,-3661,-2631,3,0
1.83,17507,-524,241,40.7,5422,10,-85,-1686,4,0
2,10764,143,378,59.3,721,60,-272,-2527,5,0
2.67,27963,606,1346,45.7,13187,17,6045,4105,1,1
3.25,22491,134,2650,37.1,48730,23,2810,6596,2,1
3.14,34999,1,-780,62.9,8282,15,3661,2631,3,1
7,17743,524,-241,60,22522,17,85,1686,4,1
2.43,19531,-143,-378,48.6,4520,59,272,2527,5,1
2,20386,1981,1469,23.5,11310,16,4876,3948,1,1
8,28651,1190,1367,70.6,58965,22,4809,6235,2,1
4,18488,653,1573,35.3,10331,13,4221,6239,3,1
4.25,17189,832,467,50,22795,19,-1759,2218,4,1
2.5,15395,171,880,44.1,6238,56,1356,1959,5,1
0.67,10355,-1981,-1469,20,3537,16,-4876,-3948,1,0
2,9090,-1190,-1367,40,4230,40,-4809,-6235,2,0
0.56,14774,-653,-1573,25,719,12,-4221,-6239,3,0
1.88,29428,-832,-467,75,3601,8,1759,-2218,4,0
1.57,8546,-171,-880,55,1737,23,-1356,-1959,5,0
1.56,16987,-1936,-891,45.2,7158,24,-10133,-5970,1,0
2.3,41430,1758,1457,74.2,37214,29,5508,1252,2,0
0.89,18600,530,878,25.8,5679,17,-3740,-2842,3,0
3.75,24777,-48,-318,48.4,12796,33,2429,-2544,4,0
3.6,29466,273,625,58.1,2957,71,-603,-2694,5,0
2.62,44681,1936,891,56.8,35148,32,10133,5970,1,1
2.29,22382,-1758,-1457,43.2,36343,32,-5508,-1252,2,1
7.33,41574,-530,-878,59.5,29874,30,3740,2842,3,1
2,30670,48,318,37.8,11939,28,-2429,2544,4,1
4.33,11178,-273,-625,70.3,4147,81,603,2694,5,1
